Immagine;Didascalia;Denominazione;Localita;Indirizzo;Civico;Comune;Telefono;Email;SitoWeb;Categoria;Categoria Secondaria;Latitudine;Longitudine;orario;noteorario;Ingresso
;;Museo della Carta e della Filigrana;Complesso di San Domenico;Largo F.lli Spacca;2;FABRIANO;0732.709297 / 0732.22334;info@museodellacarta.com;http://www.museodellacarta.com;Specializzato;Scienza e tecnica;43.3331;12.9025;Dal 27 marzo al 27 maggio: dal marted� alla domenica 9.30 -13.30, 14.30 - 18.30. Dal 29 maggio al 28 ottobre: 10 - 13, 14.30 - 19.30.;Visite guidate (incluse nel biglietto) con partenza alle ore 10, 11, 11.45, 15, 16 e 17.;"prezzo intero: 5,70 ?; prezzo ridotto: 4,60 ?; scolaresche: 3,50?"
;;Museo della Carta e della Filigrana;Palazzo Comunale;Largo Giacomo Leopardi;1;PIORACO;0737.42142 - 0737.42735 - 0737.232218;;www.comune.pioraco.mc.it;Specializzato;;43.1788;12.9846;"apertura: Prefestivi dalle 15.30 alle 18.00; Festivi dalle 10.30 alle 12.00 e dalle 15.30 alle 18.00";;Ingresso a pagamento
;;Museo della ceramica e civilt� contadina;Scuola Media Statale;Via Galileo Galilei;1-3;MONTOTTONE;0734.775135;comune@pec.montottone.eu;http://www.montottone.eu/;Specializzato;Specializzato;43.0601;13.5876;Apertura su richiesta.;;
;;Museo della  Civilt� Contadina;;via Nazario Sauro;27;FILOTTRANO;347 3211290;;;Etnografia e antropologia;;43.4343;13.3504;Ingresso su richiesta;;Ingresso gratutito
;;Museo della Civilt� Contadina;"Fattoria ""la Ginestra""";Via Serraloggia;203;FABRIANO;"0732.24013; 338.9322997";museolaginestra@libero.it;www.museolaginestra.it;Etnografia e antropologia;;43.3308;12.9166;aperto da Maggio a Ottobre su prenotazione.;;
;;Museo della Civilt� Contadina;Palazzo Battelli;Via Crescentini;;SASSOCORVARO;0722.76873 (Municipio) - 0722.76177 (Rocca);comune.sassocorvaro@provincia.ps.it;www.montefeltro.net/sassocorvaro.it;Etnografia e antropologia;;43.7819;12.4952;aperto su richiesta;;a pagamento cumulativo con altri musei del comune
;;Museo della Civilt� Contadina;Spinetoli;Corso Umberto I;34;SPINETOLI;0736/890298;munspin@topnet.it;;Territoriale;Etnografia e antropologia;42.8892;13.7742;su  richiesta con orari prestabiliti;Il servizio � gratuito.;
;;Museo della Civilt� Contadina dell?Abbazia di Santa Maria di Chiaravalle di Fiastra;Abbadia di S. Maria di Chiaravalle di Fiastra;Contrada Abbadia di Fiastra (Strada Statale78);2;TOLENTINO;0733/202122;riserva@abbadiafiastra.net;http://www.abbadiafiastra.net;Etnografia e antropologia;;43.2215;13.4037;Periodi Estivi: 10.00-13.00/ 15.30-18.30Periodi Invernali (sabato e Domenica)10.00-13.00/ 15-18.;;Ingresso a pagamento
;;Museo della Civilt� Contadina e Artigiana;Cripta della Chiesa di San Filippo;Piazzale F.lli Fedeli;SNC;RIPATRANSONE;;;;Etnografia e antropologia;Specializzato;43.0006;13.7638;Non ci sono orari certi di apertura, ma dovrebbe essere aperto la domenica e i festivi, ore 15-19.;;
;;"Museo della civilt� contadina ""Ferretti Florindo""";Torre Varano;Via Castello;;SEFRO;;;;Etnografia e antropologia;;43.1475;12.9496;aperto su richiesta. Agosto aperto tutti i giorni. Luglio aperto solo la domenica;;Ingresso gratuito
;;"Museo della Civilt� Contadina ""Stefano Cardarelli""";;Frazione Uscerno;;MONTEGALLO;0736.806122;infoposta@comune.montegallo.ap.it;;Etnografia e antropologia;;42.8611;13.3856;su richiesta;;
;;Museo della corda e del mattone;;via Cosimo Betti;SNC;ORCIANO DI PESARO;0721 97424;comune.orciano@provincia.ps.it;http://www.comune.orciano.pu.it/;Territoriale;;43.6892;12.9659;Sabato                        9.30-12.00   16.00-19.00Domenica e festivi   16.00-19.00;;"Intero: 2 ?; ridotto: 1,5 ?"
;;"Museo della Cultura Mezzadrile ""Utensilia""";Camminamento La Scarpa;Piazza Romagnoli;6;MORRO D'ALBA;0731.63000;comune@comune.morrodalba.an.it;http://comune.morrodalba.an.it;Etnografia e antropologia;;43.6015;13.2139;Dal 15 al 30 aprile: domenica 15.30-19.30.Dal 1 maggio al 30 giugno: domenica 16-20. Dal 1 luglio al 1 settembre: ven, sab, dom 17-20. Dal 2 al 30 settembre: 16-20. Dal 1 al 31 ottobre: domenica 15.30-19.30. Dal 1 novembre al 6 gennaio: domenica 15.30 - 1;Chiuso 15 agosto, 1 novembre, 25 e 31 dicembre.;"prezzo intero: 2 ?; prezzo ridotto: 1,5 ?"
;;Museo della Grotta della Sibilla;Villa Curi;Via Trieste;SNC;MONTEMONACO;0736/856141;"com.montemonaco@provincia.ap.it; proloco@montemonaco.com";http://musei.sibillini.net;Specializzato;;42.8992;13.3269;;;
;;Museo della Liberazione di Ancona;;Via dell'Arengo;13;OFFAGNA;071.7107005;sa.moffa@offagna.org;http://www.storiamarche900.it;Storia;Territoriale;43.5271;13.4408;Luglio - 11 settembre 10.00-12.00 e 16.00-19.30. Nel restante periodo su prenotazione tel. 071.202271;;"Intero: 2?; ridotto 1? studenti, over 65); gratuito (under 6, accompagnatori di gruppi, insegnanti)"
;;Museo della Nostra Terra e Mulino del fiume;Pieve Torina;Via S.Agostino;1;PIEVE TORINA;0737/518032;visso@lycosmail.com;http://www.musei.sibillini.net;Territoriale;Etnografia e antropologia;43.0403;13.047;Periodo invernale: tutti i giorni anche i festiviAgosto: tutti i giorni anche i festivi;;"prezzo intero: 2 ?; prezzo ridotto: 1 ?"
;;Museo della Pastorizia;;Frazione Cupi;;VISSO;339.2027814;;;Etnografia e antropologia;;42.9991;13.1119;apertura su prenotazione;;Ingresso gratuito
;;Museo dell'Arciconfraternita del SS. Cuore di Ges�;;Via Corridoni;15;TOLENTINO;330.419687;;www.comune.tolentino.mc.it;Arte;;43.2115;13.2828;aperto su richiesta;;Ingresso gratuito
;;Museo della Resistenza;Castello di Falconara Alta;Via Cameranesi;snc;FALCONARA MARITTIMA;071.9177336;cultura@comune.falconara-marittima.an.it;http://www.museoresistenza.it;Storia;;43.6232;13.3938;da Pasqua al 31 maggio e dal 1 settembre al 31 dicembre sabato e domenica 15.30-18.30;Il museo � aperto su richiesta dal 1 gennaio al gioved� di Pasqua e nei mesi di luglio e agosto;"prezzo intero: 2 ?; prezzo ridotto: 1,5 ?"
;;Museo dell'Arte Ceramica;Chiostro di San Tommaso;Piazza San Tommaso;11;ASCOLI PICENO;0736/240290;musei.civici@comune.ascolipiceno.it;http://www.ascolimusei.it;Arte;;42.8556;13.571;10/19 marted�-domenica;;"prezzo intero: 8 ?; prezzo ridotto: 5 ?"
;;Museo della Scultura;Spinetoli;Via Michelessi;11;SPINETOLI;0736/890298;munspin@topnet.it;;Arte;;42.8895;13.7738;Aperto su richiesta e a richiesta. il servizio � gratuito;;
;;"Museo della Scuola ""Paolo e Ornella Ricca""";Centro Direzionale;Via Carducci;63/a;MACERATA;;cescom@unimc.it;http://www2.unimc.it/dsef/ricerca/centri/museo-della-scuola-abpaolo-e-ornella-riccabb/view;Specializzato;;43.2974;13.4542;Aperto su prenotazione;;Ingresso a pagamento
;;Museo della Storia Postale dei 15 Comuni della Comunit� Montana dei Monti Azzurri;;Piazza San Francesco;1;LORO PICENO;327.2320853 - 0733.509112;comune@loropiceno.sinp.net;www.comune.loropiceno.mc.it;Storia;;43.1671;13.4156;Apertura su richiesta;;Ingresso a pagamento
;;Museo della Tessitura;Macerata;Vicolo Vecchio;6;MACERATA;0733/232527;museo@latela.net;http://www.latela.net;Etnografia e antropologia;;43.3011;13.4581;dal marted� al venerd� apertura ore10,00 -12,30, in altri orari,sabato e festivi  su appuntamento;apertura festiva su appuntamento - chiusura in agosto;Ingresso gratuito
;;Museo delle Armi Antiche e della Rocca Medievale;Rocca di Offagna;Piazza del Maniero;snc;OFFAGNA;0717107552;offagna@festemedievali.it;http://www.festemedievali.it;Specializzato;;43.5276;13.4409;"25/04 - 30/06: sab e dom 10-12; 16-19; 01/07 15/09   10-12, 17-20; 16/09, 30/09 10-12, 16.30-19.30.";;"prezzo intero: 5 ?; prezzo ridotto: 3 ?"
;;Museo delle Armi Antiche e Fortezza Medievale di Acquaviva Picena;;piazza del Forte;1;ACQUAVIVA PICENA;0735.764005;turismo@comuneacquavivapicena.it;;Storia;;42.9445;13.8122;"Da Marzo a Maggio e da Ottobre a Febbraio: Festivi e prefestivi 10.30 -12.30;15.30 -17.30; da Giugno a Settembre: tutti i giorni 10.00 -12.30; 17.00 -20.00 e 21.00 - 23.30;";;
;;Museo delle Armi e delle Uniformi;Ex Chiesa di San Biagio;Via Sacrario;SNC;URBISAGLIA;0733 512648;ufficiosegreteria@urbisaglia.sinp.net;http://www.urbisaglia.sinp.net;Storia;;43.1981;13.3781;Inverno: sabato e domenica 10.00-13.00/14.30-16.30.Prim e aut 10-13/15-18,30. estate tutti i giorni;;"prezzo intero: 2 ?; prezzo ridotto: 1 ?"
;;Museo delle Arti e Tradizioni Popolari;;Via Cento Fiorini;25;CIVITANOVA MARCHE;0733.890258;;;Etnografia e antropologia;;43.3046;13.7195;Aperto su prenotazione;;Ingresso gratuito
;;"Museo delle Arti Monastiche ""Le stanze del tempo sospeso""";ex Convento di S. Francesco;Via Armellini;snc;SERRA DE'CONTI;0731/871739;info@museoartimonastiche.it;"http://www.museoartimonastiche.it ; www.musan.it";Etnografia e antropologia;Territoriale;43.5424;13.038;Da 1/1 a 30/6 e da 1/9 a 31/12: sab15.30-19.30 dom/fest 10.30-12.30/ 15.30-19.30. Da 1-7 a 31/8: mart-sab17-20, dom anche 10.30-12.30;;"prezzo intero: 3 ?; prezzo ridotto: 2 ?"
;;Museo delle cose di ieri. Mostra permanente  Museo della Civilt� Contadina Appenninica ed Attrezzi Agricoli;Agriturismo Sacchia;Localit� Sacchia;4;BORGO PACE;0722/89358;info@sacchiafarm.it;http://www.sacchiafarm.it;Etnografia e antropologia;;43.6666;12.2914;Giugno-Settembre: 10.00-12.00  17.00-19.00Ottobre-Maggio: Su richiesta;Nel periodo estivo � programmata ogni anno un'esposizione temporanea.;Gratuito
;;Museo delle due guerre mondiali;Loro Piceno, Castello di Brunforte;Piazza San Liberato;SNC;LORO PICENO;0733509112;comune@loropiceno.sinp.net;"http://www.loropiceno.sinp.net; www.sistemamuseale-mc.it";Storia;;43.1658;13.4158;Aperto da met� Giugno a met� Settembre: Sabato, Domenica e festivi dalle 10.00 alle 13.00 e dalle 16.00 alle 19.00.;Apertura a richiesta con preavviso;"prezzo intero: 2,5 ?; prezzo ridotto: 1,5 ?"
;;Museo delle Terrecotte e Banda Grossi;;Corso Umberto;17;BARCHI;0721.97152;comune.barchi@provincia.ps.it;http://www.vallediculture.it;Etnografia e antropologia;;43.6725;12.9288;Apertura su richiesta;Attivit� didattiche e visite guidate su prenotazione: contattare Comune di Barchi 0721.97152.;
;;Museo del Sidecar;localit� Valcarecce;Via Valcarecce;13;CINGOLI;0733/602651;info@sidecar.it;http://www.sidecar.it;Specializzato;Scienza e tecnica;43.3998;13.1753;aperto su richiesta;IL MUSEO E? TEMPORANEAMENTE INAGIBILE;Ingresso gratuito
;;Museo del Telefono;;Via Matteotti;24;SAN MARCELLO;0731 267014;museidascoprire@libero.it;http://www.musan.it;Specializzato;;43.5768;13.2057;;;
;;Museo del Territorio ? Arte degli Scalpellini;Palazzo Bracci;Piazza Garibaldi;1;SANT'IPPOLITO;0721.728144;"comune.santippolito@provincia.ps.it; scolpireinpiazza@gmail.com";http://www.scalpellini.org;Specializzato;;43.6857;12.8705;in occasione di eventi;apertura riferita al periodo di svolgimento degli eventi;ingresso gratuito
;;Museo del Territorio ? Gola del Furlo;Furlo;Via Flaminia;;ACQUALAGNA;0721.700041;riservafurlo@provincia.ps.it;http://www.riservagoladelfurlo.it;Storia naturale e scienze naturali;;43.6279;12.6819;;;
;;"Museo del Territorio ""Oberdan Poletti""";scuola;Viale Collio;;SAN SEVERINO MARCHE;0733638377;presidenza@ictacchiventuri.it;www.sanseverino.sinp.net;Etnografia e antropologia;Territoriale;43.2293;13.1758;"aperto tutti i giorni dalle 9.00 alle 13.00; Chiuso il Luned�";;Ingresso gratuito
;;Museo del Torrione della Battaglia;torrione della battaglia;Largo Il Tarpato;0;GROTTAMMARE;0735/739224;cultura@comune.grottammare.ap.it;http://www.comune.grottammare.ap.it;Arte;Territoriale;42.9936;13.8694;"lug e ago tutti i giorni (luned� chiuso); da sett a giugno sabato e domenica";;
;;Museo del Vasaio e del Fischietto;;Via Roma;SNC;RIPATRANSONE;07359338;;;Specializzato;;42.9993;13.762;Su richiesta;;
;;Museo del Vino Enoteca Comunale;Ex Ospedale degli Infermi;Via Ex Ospedale degli Infermi, Via G. Marconi 29/31;SNC;STAFFOLO;338.1350308;enotecabrocani@hotmail.it;;Etnografia e antropologia;;43.4321;13.1868;;apertura solo dell'enoteca - non del museo - al pianoterra;
;;Museo Demo-Antropologico d'Arte e Mestieri Antichi;Palazzetto del Podest�;Piazza del Comune;6;MONTELUPONE;0733.226421-2;info@comune.montelupone.mc.it;www.comune.montelupone.mc.it;Etnografia e antropologia;;43.3443;13.5677;apertura su richiesta con 48 ore di anticipo;;gratuito le domeniche da aprile a settembre, altri mesi a pagamento
;;Museo Demoantropologico ?I vecchi mestieri?;Palazzo Mercuri;Piazza Umberto I;4;SANT'ANGELO IN VADO;0722/ 819914;"cultura@comune.sant-angelo-in-vado.ps.it; info@museipartecipati.it";"http://www.comune.sant-angelo-in-vado.it; www.museipartecipati.it";Etnografia e antropologia;;43.6646;12.413;Tutti i giorni: 9-12/ 15-19;;"Intero: 2 ?; ridotto: 1 ?"
;;"Museo  Demoetnoantropologico della ""Terracotta e della Terra Cruda""";Complesso Conventuale Santa Vittoria;Via del Convento;7;FRATTE ROSA;0721.771014;musei@terracottefratterosa.it;http://www.terrecottefratterosa.it;Specializzato;Territoriale;43.6459;12.8939;Dal 21 aprile al 31 dicembre aperto sabato e domenica dalle 17.00 - 20.00;Il museo effettua aperture su prenotazione per gruppi di almeno 15 persone;"prezzo intero: 3 ?; prezzo ridotto: 2 ?"
;;Museo di Archeologia Industriale;;Ex Chiesa di Santa Chiara;;MACERATA FELTRIA;0722.728208;comune.macerataf@provincia.ps.it;www.comune.maceratafeltria.pu.it;Etnografia e antropologia;;43.8039;12.4413;aperto su prenotazione.;Per prenotare rivolgersi all?Ufficio Turistico o telefonare al Sig. Rossi Giuseppe al numero 0722.74546 oppure al cell. 340.3454102;a pagamento, cumulativo con gli altri musei del comune.
;;Museo di Arte Contemporanea e dei Pittori dell'Emigrazione;Villa Colloredo Mels;via Gregorio XII;s.n.;RECANATI;071/7570410;spaziocultura@virgilio.it;www.comune.recanati.mc.it;Arte;;43.4061;13.5432;"INVERNALE: marted� a domenica 9/12 e15/19; ESTIVO: da Marted� a Domenica dalle 16 alle 20.";;"prezzo intero: 1 ?; prezzo ridotto: 0,5 ?"
;;"Museo di Arte Sacra e Mostra permanente ""Gli antichi mestieri ambulanti""";Palazzo Agostiniano;L.go Marconi;5;MONTELPARO;0734/780141;com.montelparo@provincia.ap.it;http://www.tecuting.it/c044043;Arte;Etnografia e antropologia;43.0184;13.5367;Luglio - agosto: tutti i giorni 10-12.30, 16.30-19.;;
;;Museo di Biologia Marina;;Viale Adriatico;1/n;FANO;0721.802689;;;Storia naturale e scienze naturali;;43.8485;13.0213;CHIUSO PER LAVORI;;gratuito
;;Museo Didattico-Artistico G. Leopardi del Centro Nazionale di Studi Leopardiani;c/o Centro Nazionale di Studi Leopardiani;Via Monte Tabor;2;RECANATI;071/7570604;www.centrostudileopardiani.it;http://www.leopardi.it;Specializzato;;43.398;13.5514;"Luned� - Venerd�: 10/13.30 - 17/19.30; Sabato: 10/13.30";;Ingresso a pagamento
;;Museo Diocesano;Palazzo Lazzarini;via Rossini;53;PESARO;0721 371219;museo@arcidiocesipesaro.it;http://www.arcidiocesipesaro.it;Arte;Archeologia;43.9114;12.9146;"Inverno (1 ottobre-30 maggio): sabato e domenica 16-19; Estate (1 giugno-15 settembre): marted�, mercoled�, venerd�, sabato e domenica 16-19; gioved� 16-22. Chiuso luned�, 1 gennaio, 15 agosto, 16-30 settembre eccetto il 24, 25-26 e 31 dicembre.";"Apert.straord.:1 nov,8 dic,6 gen,Pasqua e lun, 25 apr,2 giu,settim cult, giorn FAI:16-19, ogni 3 dom (no ag):9.30-12.30,16-19, lug.16-22; ROF 9.30-12.30,16-19; 24 sett:15.30-19.30 gratis.";"Intero: 3 ?; ridotto: 2 ?; contributo attivit� didattica ? 1, vis. guid. ?1. Riduzioni over 65 under 25, 3 dom. gruppi, sett. cult,FAI, gratuit� ICOM, handicap e accomp., giornalisti, guide e interpr"
;;Museo Diocesano d'Arte Sacra;Chiesa della SS.ma Annunziata;via Giuseppe Verdi;;COSSIGNANO;0735 98116 - 347. 3804444;;;Arte;;42.984;13.6887;;;
;;Museo Diocesano della Collegiata;;piazza Garibaldi;SNC;MERCATELLO SUL METAURO;0722.89593;donnico@wooow.it;http://www.museodelmetauro.it;Arte;;43.6473;12.3371;Apertura solo su prenotazione, la Chiesa � sempre aperta.;"La chiesa � servita dalle guide ed audioguide disponibili presso presso il Museo di San Francesco; visite guidate su prenotazione.";ingresso gratuito
;;Museo Diocesano - Raccolta del Santuario della Beata Vergine Madre della Misericordia;;Piazza Strambi;2;MACERATA;0733-230660;;www.sistemamuseale?mc.it;Arte;;43.3008;13.4563;Apertura a richiesta;;Ingresso gratuito
;;Museo di Palazzo Forti;;Via Roma;54;MOGLIANO;0733.557788;;www.comune.mogliano.mc.it;Arte;;43.186;13.4807;aperto su richiesta;;
;;"Museo di Scienze ""Campana""";c/o Liceo Scientifico e Classico;via Aldo Moro;3;OSIMO;071/715782;liceo@corridoni-campana.it;;Storia naturale e scienze naturali;Scienza e tecnica;43.524;13.4038;;;
;;Museo di Scienze Naturali ?L. Paolucci?;;via del Monastero;8;OFFAGNA;0717107611;museopaolucci@tiscali.it;http://www.museopaolucci.it;Storia naturale e scienze naturali;Scienza e tecnica;43.5274;13.4405;"Mar-24 Ap.16 S.-Dic. sab. dom. 16-19; 25 Ap.-G. sab. dom. 10-12 16.30-19.30; Lu-15 Set. 10-12 17-20";"Nel 2010 2 Ap-31 Lug. da mart. a dom. 3 ore; Agosto-Dic. sab. dom. 3 ore.";"prezzo intero: 3 ?; prezzo ridotto: 1,5 ?"
;;Museo di Storia Naturale;Palazzo Rossini-Lucangeli;Via Santa Maria della Porta;65;MACERATA;0733.256385 (mattino) 0733.239717 (pomeriggio);museostorianaturale@comune.macerata.it;www.comune.macerata.it;Storia naturale e scienze naturali;;43.3001;13.4553;aperto dal luned� al Sabato dalle 9.00 alle 12.00 e dalle 15.00 alle 19.00;;Ingresso gratuito
;;Museo e Bottega delle Sculture in legno;;Piazza Matteotti;SNC;RIPATRANSONE;073599288;;;Specializzato;;43.0028;13.7649;� aperto tutti i giorni, al mattino e al pomeriggio, ma � privo di un orario certo di apertura.;;
;;Museo interattivo della tradizione locale;Chiostro di San Francesco;Piazza San Francesco;2;LORO PICENO;0733509112;comune@loropiceno.sinp.net;http://www.loropiceno.sinp.net;Territoriale;;43.1663;13.4158;"10-13; 16-19";Numero totale di ore di apertura per il 2007:351. N. tot. di ore periodo estivo:232.;"prezzo intero: 2,5 ?; prezzo ridotto: 1,5 ?"
;;Museo Internazionale dell'Etichetta del Vino;;Corso Leopardi;58;CUPRAMONTANA;0731/780199;comune.cupramontana@provincia.ancona.it;;Specializzato;;43.4454;13.1171;Inverno sabato e domenica 10.00-12.30   15.30-18.30/ Estate giov.- dom. ore 17-20.;;"prezzo intero: 2 ?; prezzo ridotto: 1,5 ?"
;;Museo Internazionale dell?Immagine Postale;Belvedere Ostrense;via Vannini;7;BELVEDERE OSTRENSE;0731/617003;comune.belvedereostrense@regione.marche.it;;Specializzato;;43.5811;13.1666;su richiesta;;
;;Museo Internazionale dell'Umorismo nell'Arte (Miumor);Palazzo Sangallo;Piazza della Libert�;18;TOLENTINO;0733 969797;info@biennaleumorismo.org;http://www.biennaleumorismo.org;Specializzato;Arte;43.209;13.285;Orario invernale:10.00-13.00/15.00-18.00.Orario estivo:10.00-13.00/15.00-19.00.;"Aperture mesi invernali:sab-dom-festivi(6 ore);aprile-ottobre:chiuso solo il lunedi.";"prezzo intero: 3 ?; prezzo ridotto: 1,5 ?"
;;"Museo Ittico ""A. Capriotti""";Palazzo del Mercato Ittico;Banchina di Riva Malfizia;19;SAN BENEDETTO DEL TRONTO;0735/588550;info@museoitticocapriotti.it;http://www.museoitticocapriotti.it;Storia naturale e scienze naturali;;42.9574;13.8841;Da settembre a giugno: da marted� a sabato, 9-13Lugkio e agosto: da marted� a domenica, 18-24;;
;;Museo missionario francescano ?Mons. Francesco Mazzieri?;Cripta della chiesa di Santo Stefano;Via Cesare Battisti;;CASTELFIDARDO;071 780506;;http://www.comune.castelfidardo.an.it;Etnografia e antropologia;;43.4641;13.5476;orari della Chiesa;;
;;Museo Nazionale del Costume Folcloristico;Palazzo Municipale, terzo piano;Piazza della Repubblica;12;CASTELRAIMONDO;0737-641723, 339-7649911, 339-4654089;castelraimondo@gruppofolk.it;www.gruppofolk.it;Etnografia e antropologia;Territoriale;43.2099;13.0576;Festivi e feriali previo appuntamento;Pubblicazioni: L. Barbini, G. Palombini, D. Parbuono, A. Scasserra, C. Zoldan, Per un Museo del Costume Folcloristico, a cura di Luca Barbini, Halley editrice, Matelica, 2009.;
;;Museo Nori de' Nobili. Centro studi sulla donna nelle arti visive contemporanee;Villino Romualdo;P.zza Leopardi;32;RIPE;071.7957851;info@museonoridenobili.it;www.museonoridenobili.it;Arte;;43.6707;13.1065;Mar: 10.30 - 12.30, Gio: 10.30 - 12.30, Sab: 10.30 - 12.30, 16.30 - 19.00, Dom: 16.30 - 19.00;;
;;Museo parrocchiale di Santa Maria di Piazza;Oratorio Madonna della Misericordia;Vicolo Boninfanti;SNC;MOGLIANO;0733.557771;protocollo@comune.mogliano.mc.it;http://www.comune.mogliano.mc.it;Arte;;43.1865;13.4803;MUSEO CHIUSO;MUSEO CHIUSO;Ingresso gratuito
;;Museo pinacoteca  della chiesa di Sant?Urbano;Chiesa di Sant'Urbano;Piazza Baldini;1;APIRO;0733.611118   0733.611129;;www.apiro.sinp.net;Arte;;43.3923;13.1311;Aperto su richuesta;;Ingresso gratuito
;;Museo San Giacomo;chiesa San Giacomo Maggiore;VIA VICOLO MURA;3;MASSIGNANO;0735/72144;;;Arte;;43.0507;13.7971;"DA LUGLIO A SETTEMBRE 16.30 - 20.00 / 21.00 -22.30; DICEMBRE-GENNAIO 10.30 -12.30 / 16.30 - 18.30";;
;;"Museo ""San Giuseppe da Copertino""";Santuario S. Giuseppe;Piazza Gallo;10;OSIMO;071 714523;museidascoprire@libero.it;http://www.musan.it;Specializzato;;43.4864;13.4839;aperto tutti i giorni dalle 6.30 alle 12.30 e dalle 15.00 alle 20.00;;
;;"Museo Scientifico ""L. Guidi"" e Osservatorio ?Valerio?";;via Cecconi;6;PESARO;0721.30677;osservatoriovalerio@comune.pesaro.ps.it;http://www.pesarocultura.it;Scienza e tecnica;;43.9115;12.9044;per visite didattiche su richiesta;;gratuito
;;Museo Storico Cappuccino;convento dei Cappuccini;Localit� S. Gregorio;;CAMERINO;0737.644480;;www.camerino.sinp.net;Storia;Arte;43.1494;13.1028;aperto su richiesta;;Ingresso gratuito
;;Museo Storico della Linea Gotica;Casinina;Via Provinciale;79;AUDITORE;0722.362170;museogotica@virgilio.it;http://www.montefeltro.net/lineagotica;Storia;;43.816;12.5879;Tutti i giorni: 9-12, 15-19;;Intero ? 5,00, ridotto ? 4,00
;;Museo Tipologico del Presepe ? Collezione Cassese;;via Maffeo Pantaleoni;4;MACERATA;0733.234045 349.5239765;;www.museotipologicodelpresepe.it;Specializzato;;43.3002;13.4582;aperto a richiesta;;Ingresso gratuito
;;Museum Graphia -Museo Internazionale della Stampa;;Via Della Miniera;10;URBINO;0722.345322;info@cortedellaminiera.it;http://cortedellaminiera.it;Scienza e tecnica;Specializzato;43.7799;12.5889;su richiesta;;gratuito
;;Oratorio di San Giuseppe;;Via Barocci;42;URBINO;0722.328352;serpret@alice.it;;Arte;;43.7258;12.6348;ore 10-12,30 e 15,30-18 tutto lanno - chiusura il luned�;;"Intero: 2 ?; ridotto: 1 ?"
;;Orto Botanico dell'Universit�;;Via Bramante;28;URBINO;0722.303774;"giovanna.giomaro@uniurb.it; filippo.bedini@uniurb.it";;Storia naturale e scienze naturali;;43.7275;12.6362;Aperto tutto l?anno dal lunedi al sabato:- mattino dalle ore 8,30 alle ore 12,30- pomeriggio dalle ore 15,00 alle ore 17,00- giovedi pomeriggio e domenica chiuso;;ingresso gratuito
;;Palazzo Castiglioni;Palazzo Pio VIII Castiglioni;C.so Garibaldi;87;CINGOLI;0733/602531;vineria@email.it;http://cingoli.sinp.net;Arte;Storia;43.3764;13.2146;Non ci sono orari prestabiliti,vengono definiti con i visitatori;;Ingresso a pagamento
;;Palazzo Parisani Bezzi - Sale Napoleoniche;Palazzo Parisani Bezzi;Via Della Pace;20;TOLENTINO;0733 960613;"info@biennaleumorismo.org; museo.napoleonico@libero.it";http://www.comune.tolentino.mc.it;Storia;Arte;43.2101;13.2848;Orario invernale:10.00-13.00/15.00-18.00.Orario estivo:10.00-13.00/15.00-19.00.;"Aperture:nov-dicembre (sab-dom-festivi);aprile-ottobre chiuso solo il lunedi.";"prezzo intero: 3 ?; prezzo ridotto: 1,5 ?"
;;"Pinacoteca ""Chiesa di San Giovanni""";Pieve Santa Maria Assunta;Piazza Santa Maria Assunta;;PIEVE TORINA;0737.518045 (Parrocchia);;;Arte;;43.0436;13.0486;apertura su richiesta;;Ingresso gratuito
;;Pinacoteca Civica;Palazzetto del Podest�;Piazza del Comune;6;MONTELUPONE;0733.226421-2;info@comune.montelupone.mc.it;www.comune.montelupone.mc.it;Arte;;43.3443;13.5677;"aperto su richiesta; per prenotazione visita guidata inviare una e-mail";;Ingresso gratuito le domeniche da aprile a settembre, altri mesi a pagamento
;;Pinacoteca Comunale;;Via Umberto I;9;GRADARA;0541.964673 - 0541.966687;info@gradarainnova.it;www.gradarainnova.com;Arte;;43.9421;12.7737;per informazioni contattare il numero 0541.964673;;a pagamento. Museo associato Carta Musei Marche
;;Pinacoteca Comunale;ex Convento di San Francesco;Piazza Matteotti;3;MONDAVIO;0721.97101;comune.mondavio@provincia.ps.it;http://comune.mondavio.pu.it;Arte;;43.6744;12.9689;9 - 12 / 15 - 19;;"prezzo intero: 4 ?; prezzo ridotto: 3 ?"
;;Pinacoteca Comunale;Palazzo Comunale;Piazza della Repubblica;;TREIA;0733.215919 (IAT) - 0733. 218703(Comune);prolocotreia.iat@treia.sinp.net;www.treia.sinp.net;Arte;;43.3112;13.3124;aperto su prenotazione I. A. T. (10-13 e 15.30-19.30);;Ingresso a pagamento
;;"Pinacoteca Comunale ""D. Stefanucci"" e Chiesa di San Domenico";Centro storico;Via Mazzini;10;CINGOLI;0733.602877- 0733.603146 - 0733.601909;comune@cingoli.sinp.net;www.cingoli.sinp.net;Arte;Storia;43.3738;13.2158;dal LUN-al VEN ore 8,30-12,30/15,30-18,30-il SAB 8,30-12,30-DOM su richiesta;;Ingresso a pagamento. Biglietto integrato per visitare gli altri musei e chiese delle Marche che conservano opere di Lorenzo Lotto.
;;Pinacoteca d?Arte Contemporanea;ex Scuola Elementare;via A. C. Nobili;11;SMERILLO;0734.79423;info@smerillo.com;http://www.smerillo.com;Arte;;43.0044;13.445;Luglio - agosto: sabato e domenica 10.30-12.30, 16-18. Gruppi su prenotazione.;;Ingresso gratuito
